Symbol,Security Name
NAUT,"Nautilus Biotechnology, Inc. - Common Stock"
NAVI,Navient Corporation - Common Stock
NB,NioCorp Developments Ltd. - Common Stock
NBBK,"NB Bancorp, Inc. - Common Stock"
NBIS,Nebius Group N.V. - Class A Ordinary Shares
NBIX,"Neurocrine Biosciences, Inc. - Common Stock"
NBN,Northeast Bank - Common Stock
NBTB,NBT Bancorp Inc. - Common Stock
NBTX,Nanobiotix S.A. - ADSs
NCEW,New Century Logistics (BVI) Limited - Ordinary Shares
NCI,Neo-Concept International Group Holdings Limited - Class A Ordinary Shares
NCIQ,Hashdex Nasdaq Crypto Index US ETF - Hashdex Nasdaq Crypto Index US ETF
NCMI,"National CineMedia, Inc. - Common Stock"
NCNA,NuCana plc - American Depositary Shares
NCNO,"nCino, Inc. - Common Stock"
NCPB,Nuveen Core Plus Bond ETF
NCPL,Netcapital Inc. - Common Stock
NCPLW,Netcapital Inc. - warrants
NCRA,"Nocera, Inc. - common stock"
NCSM,"NCS Multistage Holdings, Inc. - Common Stock"
NCT,Intercont (Cayman) Limited - Ordinary shares
NCTY,The9 Limited - American Depository Shares
NDAA,Ned Davis Research 360 Dynamic Allocation ETF
NDAQ,"Nasdaq, Inc. - Common Stock"
NDLS,Noodles & Company - Common Stock
NDRA,ENDRA Life Sciences Inc. - Common Stock
NDSN,Nordson Corporation - Common Stock
NECB,"NorthEast Community Bancorp, Inc. - Common Stock"
NEGG,"Newegg Commerce, Inc. - Common Shares"
NEO,"NeoGenomics, Inc. - Common Stock"
NEOG,Neogen Corporation - Common Stock
NEON,Neonode Inc. - Common Stock
NEOV,NeoVolta Inc. - Common Stock
NEOVW,NeoVolta Inc. - Warrant
NEPH,"Nephros, Inc. - Common Stock"
NERD,Roundhill Video Games ETF
NERV,"Minerva Neurosciences, Inc - Common Stock"
NESR,National Energy Services Reunited Corp - Ordinary Shares
NETD,Nabors Energy Transition Corp. II - Class A Ordinary Shares
NETDU,Nabors Energy Transition Corp. II - Unit
NETDW,Nabors Energy Transition Corp. II - Warrant
NEUP,Neuphoria Therapeutics Inc. - Common Stock
NEWT,"NewtekOne, Inc. - Common Stock"
NEWTG,"NewtekOne, Inc. - 8.50% Fixed Rate Senior Notes due 2029"
NEWTH,"NewtekOne, Inc. - 8.625% Fixed Rate Senior Notes due 2029"
NEWTI,"NewtekOne, Inc. - 8.00% Fixed Rate Senior Notes due 2028"
NEWTP,"NewtekOne, Inc. - Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.500% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B"
NEWTZ,"NewtekOne, Inc. - 5.50% Notes Due 2026"
NEWZ,StockSnips AI-Powered Sentiment US All Cap ETF
NEXM,NexMetals Mining Corp. - Common Stock
NEXN,Nexxen International Ltd. - Ordinary Shares
NEXT,NextDecade Corporation - Common Stock
NFBK,"Northfield Bancorp, Inc. - Common Stock"
NFE,New Fortress Energy Inc. - Class A Common Stock
NFLX,"Netflix, Inc. - Common Stock"
NFTY,First Trust India Nifty 50 Equal Weight ETF
NFXL,Direxion Daily NFLX Bull 2X Shares
NFXS,Direxion Daily NFLX Bear 1X Shares
NGNE,Neurogene Inc. - Common Stock
NHIC,NewHold Investment Corp III - Class A Ordinary shares
NHICU,NewHold Investment Corp III - Units
NHICW,NewHold Investment Corp III - Warrants
NHPAP,"National Healthcare Properties, Inc. - 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock"
NHPBP,"National Healthcare Properties, Inc. - 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock"
NHTC,Natural Health Trends Corp. - Commn Stock
NICE,NICE Ltd - American Depositary Shares each representing one Ordinary Share
NIKL,Sprott Nickel Miners ETF
NIOBW,NioCorp Developments Ltd. - Warrant
NIPG,NIP Group Inc. - American Depositary Shares
NISN,"NiSun Intl Enterprise Development Group Co, Ltd - Class A Common Shares"
NITO,"N2OFF, Inc. - Common Stock"
NIU,Niu Technologies - American Depositary Shares
NIVF,NewGenIvf Group Limited - Class A Ordinary Shares
NIVFW,NewGenIvf Group Limited - Warrants
NIXT,Research Affiliates Deletions ETF
NIXX,"Nixxy, Inc. - Common Stock"
NIXXW,"Nixxy, Inc. - Warrant"
NKSH,"National Bankshares, Inc. - Common Stock"
NKTR,Nektar Therapeutics - Common Stock
NKTX,"Nkarta, Inc. - Common Stock"
NLSP,NLS Pharmaceutics Ltd. - Common Shares
NLSPW,NLS Pharmaceutics Ltd. - Warrant
NMFC,New Mountain Finance Corporation - Common Stock
NMFCZ,New Mountain Finance Corporation - 8.250% Notes due 2028
NMIH,NMI Holdings Inc - Common Stock
NMPAU,NMP Acquisition Corp. - Units
NMRA,"Neumora Therapeutics, Inc. - Common Stock"
NMRK,"Newmark Group, Inc. - Class A Common Stock"
NMTC,NeuroOne Medical Technologies Corporation - Common Stock
NN,NextNav Inc. - Common stock
NNAVW,NextNav Inc. - Warrant
NNBR,"NN, Inc. - Common Stock"
NNDM,Nano Dimension Ltd. - American Depositary Shares
NNE,Nano Nuclear Energy Inc. - common stock
NNNN,Anbio Biotechnology - Class A Ordinary Shares
NNOX,NANO-X IMAGING LTD - Ordinary Shares
NODK,"NI Holdings, Inc. - Common Stock"
NOEM,CO2 Energy Transition Corp. - Common Stock
NOEMR,CO2 Energy Transition Corp. - Right
NOEMU,CO2 Energy Transition Corp. - Unit
NOEMW,CO2 Energy Transition Corp. - Warrant
NOTV,"Inotiv, Inc. - Common Stock"
NOVT,Novanta Inc. - Common Shares
NOWL,GraniteShares 2x Long NOW Daily ETF
NPAC,New Providence Acquisition Corp. III - Ordinary Shares
NPACU,New Providence Acquisition Corp. III - Units
NPACW,New Providence Acquisition Corp. III - Warrants
NPCE,"Neuropace, Inc. - Common Stock"
NPFI,Nuveen Preferred and Income ETF
NRC,National Research Corporation - Common Stock
NRDS,"NerdWallet, Inc. - Class A Common Stock"
NRES,Xtrackers RREEF Global Natural Resources ETF
NRIM,Northrim BanCorp Inc - Common Stock
NRIX,"Nurix Therapeutics, Inc. - Common stock"
NRSN,NeuroSense Therapeutics Ltd. - Ordinary Shares
NRSNW,NeuroSense Therapeutics Ltd. - Warrant
NRXP,"NRX Pharmaceuticals, Inc. - Common Stock"
NRXPW,"NRX Pharmaceuticals, Inc. - Warrant"
NSCR,Nuveen Sustainable Core ETF
NSI,National Security Emerging Markets Index ETF
NSIT,"Insight Enterprises, Inc. - Common Stock"
NSPR,InspireMD Inc. - Common Stock
NSSC,"NAPCO Security Technologies, Inc. - Common Stock"
NSTS,"NSTS Bancorp, Inc. - Common Stock"
NSYS,Nortech Systems Incorporated - Common Stock
NTAP,"NetApp, Inc. - Common Stock"
NTCL,NETCLASS TECHNOLOGY INC - Class A Ordinary Shares
NTCT,"NetScout Systems, Inc. - Common Stock"
NTES,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares"
NTGR,"NETGEAR, Inc. - Common Stock"
NTHI,"NeOnc Technologies Holdings, Inc. - Common Stock"
NTIC,Northern Technologies International Corporation - Common Stock
NTLA,"Intellia Therapeutics, Inc. - Common Stock"
NTNX,"Nutanix, Inc. - Class A Common Stock"
NTRA,"Natera, Inc. - Common Stock"
NTRB,Nutriband Inc. - Common Stock
NTRBW,Nutriband Inc. - Warrant
NTRP,"NextTrip, Inc. - Common Stock"
NTRS,Northern Trust Corporation - Common Stock
NTRSO,"Northern Trust Corporation - Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock"
NTWK,NETSOL Technologies Inc. - Common Stock
NTWO,Newbury Street II Acquisition Corp - Class A Ordinary Shares
NTWOU,Newbury Street II Acquisition Corp - Unit
NTWOW,Newbury Street II Acquisition Corp - Warrant
NUAI,"New Era Energy & Digital, Inc. - Common Stock"
NUAIW,"New Era Energy & Digital, Inc. - Warrants"
NUKK,Nukkleus Inc. - Ordinary Shares
NUKKW,Nukkleus Inc. - Warrants
NUSB,Nuveen Ultra Short Income ETF
NUTR,Nusatrip Incorporated - Common Stock
NUTX,Nutex Health Inc. - Common Stock
NUVL,"Nuvalent, Inc. - Class A Common Stock"
NUWE,"Nuwellis, Inc. - Common Stock"
NVA,Nova Minerals Limited - American Depositary Shares
NVAWW,Nova Minerals Limited - Warrant
NVAX,"Novavax, Inc. - Common Stock"
NVCR,NovoCure Limited - Ordinary Shares
NVCT,"Nuvectis Pharma, Inc. - Common Stock"
NVD,GraniteShares 2x Short NVDA Daily ETF
NVDA,NVIDIA Corporation - Common Stock
NVDD,Direxion Daily NVDA Bear 1X Shares
NVDG,Leverage Shares 2X Long NVDA Daily ETF
NVDL,GraniteShares 2x Long NVDA Daily ETF
NVDS,Tradr 1.5X Short NVDA Daily ETF
NVDU,Direxion Daily NVDA Bull 2X Shares
NVEC,NVE Corporation - Common Stock
NVFY,"Nova Lifestyle, Inc - Common Stock"
NVMI,Nova Ltd. - Ordinary Shares
NVNI,Nvni Group Limited - Ordinary Shares
NVNIW,Nvni Group Limited - Warrants
NVNO,enVVeno Medical Corporation - Common Stock
NVTS,Navitas Semiconductor Corporation - Common Stock
NVVE,Nuvve Holding Corp. - Common Stock
NVVEW,Nuvve Holding Corp. - Warrant
NVX,NOVONIX Limited - American Depository Shares
NVYY,GraniteShares YieldBOOST NVDA ETF
NWBI,"Northwest Bancshares, Inc. - Common Stock"
NWE,"NorthWestern Energy Group, Inc.  - Common Stock"
NWFL,Norwood Financial Corp. - Common Stock
NWGL,Nature Wood Group Limited - American Depositary Shares
NWL,Newell Brands Inc. - Common Stock
NWPX,"NWPX Infrastructure, Inc. - Common Stock"
NWS,News Corporation - Class B Common Stock
NWSA,News Corporation - Class A Common Stock
NWTG,"Newton Golf Company, Inc. - Common Stock"
NXGL,"NexGel, Inc - Common Stock"
NXGLW,"NexGel, Inc - Warrant"
NXL,"Nexalin Technology, Inc. - Common Stock"
NXLIW,"Nexalin Technology, Inc. - Warrant"
NXPI,NXP Semiconductors N.V. - Common Stock
NXPL,NextPlat Corp - Common Stock
NXPLW,NextPlat Corp - Warrants
NXST,"Nexstar Media Group, Inc. - Common Stock"
NXT,Nextracker Inc. - Class A Common Stock
NXTC,"NextCure, Inc. - Common Stock"
NXTG,First Trust Indxx NextG ETF
NXTT,Next Technology Holding Inc. - Ordinary Shares
NXXT,"NextNRG, Inc. - Common Stock"
NYAX,Nayax Ltd. - Ordinary Shares
NYMT,"New York Mortgage Trust, Inc. - Common Stock"
NYMTG,"New York Mortgage Trust, Inc. - 9.125% Senior Notes Due 2030"
NYMTH,"New York Mortgage Trust, Inc. - 9.875% Senior Notes Due 2030"
NYMTI,"New York Mortgage Trust, Inc. - 9.125% Senior Notes Due 2029"
NYMTL,"New York Mortgage Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share"
NYMTM,"New York Mortgage Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
NYMTN,"New York Mortgage Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
NYMTZ,"New York Mortgage Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share"
NYXH,Nyxoah SA - Ordinary Shares
NZAC,SPDR MSCI ACWI Climate Paris Aligned ETF
NZUS,SPDR MSCI USA Climate Paris Aligned ETF
OABI,"OmniAb, Inc. - Common Stock"
OABIW,"OmniAb, Inc. - Warrant"
OACC,Oaktree Acquisition Corp. III Life Sciences - Class A Ordinary Share
OACCU,Oaktree Acquisition Corp. III Life Sciences - Unit
OACCW,Oaktree Acquisition Corp. III Life Sciences - Warrant
OAKU,Oak Woods Acquisition Corporation - Class A Ordinary Shares
OAKUR,Oak Woods Acquisition Corporation - Right
OAKUU,Oak Woods Acquisition Corporation - Unit
OAKUW,Oak Woods Acquisition Corporation - Warrant
OBA,Oxley Bridge Acquisition Limited - Class A Ordinary Shares
OBAWU,Oxley Bridge Acquisition Limited - Unit
OBAWW,Oxley Bridge Acquisition Limited - Warrants
OBIL,US Treasury 12 Month Bill ETF
OBIO,"Orchestra BioMed Holdings, Inc. - Ordinary Shares"
OBLG,Oblong Inc. - Common Stock
OBT,"Orange County Bancorp, Inc. - Common Stock"
OCC,Optical Cable Corporation - Common Stock
OCCI,"OFS Credit Company, Inc. - Closed End Fund"
OCCIM,"OFS Credit Company, Inc. - 7.875% Series F Term Preferred Stock"
OCCIN,"OFS Credit Company, Inc. - 5.25% Series E Term Preferred Stock Due 2026"
OCCIO,"OFS Credit Company, Inc. - 6.125% Series C Term Preferred Stock"
OCFC,OceanFirst Financial Corp. - Common Stock
OCG,Oriental Culture Holding LTD - Ordinary Shares
OCGN,"Ocugen, Inc. - Common Stock"
OCS,Oculis Holding AG - Ordinary shares
OCSAW,Oculis Holding AG - Warrants
OCSL,Oaktree Specialty Lending Corporation - Closed End Fund
OCTO,Eightco Holdings Inc. - Common Stock
OCUL,"Ocular Therapeutix, Inc. - Common Stock"
ODD,ODDITY Tech Ltd. - Class A Ordinary Shares
ODDS,Pacer BlueStar Digital Entertainment ETF
ODFL,"Old Dominion Freight Line, Inc. - Common Stock"
ODP,The ODP Corporation - Common Stock
ODVWZ,Osisko Development Corp. - Warrant
ODYS,Odysight.ai Inc. - Common Stock
OESX,"Orion Energy Systems, Inc. - Common Stock"
OFAL,OFA Group - Ordinary shares
OFIX,Orthofix Medical Inc.  - Common Stock
OFLX,"Omega Flex, Inc. - Common Stock"
OFS,OFS Capital Corporation - Closed End Fund
OFSSH,OFS Capital Corporation - 4.95% Notes due 2028
OFSSO,OFS Capital Corporation - 7.50% Notes due 2028
OGI,Organigram Global Inc. - Common Shares
OKLL,Defiance Daily Target 2x Long OKLO ETF
OKTA,"Okta, Inc. - Class A Common Stock"
OKUR,"OnKure Therapeutics, Inc. - Class A Common Stock"
OKYO,OKYO Pharma Limited - Ordinary Shares
OLB,"The OLB Group, Inc. - Common Stock"
OLED,Universal Display Corporation - Common Stock
OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock"
OLMA,"Olema Pharmaceuticals, Inc. - Common Stock"
OLPX,"Olaplex Holdings, Inc. - Common Stock"
OM,"Outset Medical, Inc. - Common Stock"
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares
OMCC,Old Market Capital Corporation - Common Stock
OMCL,"Omnicell, Inc. - Common Stock"
OMDA,"Omada Health, Inc. - Common Stock"
OMER,Omeros Corporation - Common Stock
OMEX,"Odyssey Marine Exploration, Inc. - Common Stock"
OMH,Ohmyhome Limited - Class A Ordinary Shares
OMSE,OMS Energy Technologies Inc. - Ordinary Shares
ON,ON Semiconductor Corporation - Common Stock
ONB,Old National Bancorp - Common Stock
ONBPO,"Old National Bancorp - Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock"
ONBPP,"Old National Bancorp - Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock"
ONC,BeOne Medicines Ltd. - American Depositary Shares
ONCHU,1RT Acquisition Corp. - Units
ONCO,"Onconetix, Inc.  - Common Stock"
ONCY,Oncolytics Biotech Inc. - Common Shares
ONDS,Ondas Holdings Inc. - Common Stock
ONEG,OneConstruction Group Limited - Ordinary Shares
ONEQ,Fidelity Nasdaq Composite Index ETF
ONEW,OneWater Marine Inc. - Class A Common Stock
ONFO,Onfolio Holdings Inc. - Common Stock
ONFOW,Onfolio Holdings Inc. - Warrant
ONMD,OneMedNet Corp - Class A Common Stock
ONMDW,OneMedNet Corp - Warrant
OOQB,One One Nasdaq-100 and Bitcoin ETF
OOSB,One One S&P 500 and Bitcoin ETF
OP,OceanPal Inc. - Common Stock
OPAL,OPAL Fuels Inc. - Class A Common Stock
OPBK,OP Bancorp - Common Stock
OPCH,"Option Care Health, Inc. - Common Stock"
OPEN,Opendoor Technologies Inc  - Common Stock
OPI,Office Properties Income Trust - Common Shares of Beneficial Interest
OPINL,Office Properties Income Trust - 6.375% Senior Notes due 2050
OPK,"Opko Health, Inc. - Common Stock"
OPOF,Old Point Financial Corporation - Common Stock
OPPJ,WisdomTree Japan Opportunities Fund
OPRA,Opera Limited - American Depositary Shares
OPRT,Oportun Financial Corporation - common stock
OPRX,OptimizeRx Corporation - Common Stock
OPT,Opthea Limited - American Depositary Shares
OPTX,"Syntec Optics Holdings, Inc. - Class A Common Stock"
OPTXW,"Syntec Optics Holdings, Inc. - Warrant"
OPTZ,Optimize Strategy Index ETF
OPXS,"Optex Systems Holdings, Inc. - Common Stock"
ORCX,Defiance Daily Target 2X Long ORCL ETF
ORGN,"Origin Materials, Inc. - Class A Common Stock"
ORGNW,"Origin Materials, Inc. - Warrant"
ORGO,Organogenesis Holdings Inc.  - Class A
ORIC,"Oric Pharmaceuticals, Inc. - Common Stock"
ORIQU,Origin Investment Corp I - Units
ORIS,Oriental Rise Holdings Limited - Ordinary Shares
ORKA,"Oruka Therapeutics, Inc. - Common Stock"
ORKT,Orangekloud Technology Inc. - Class A Ordinary Shares
ORLY,"O'Reilly Automotive, Inc. - Common Stock"
ORMP,Oramed Pharmaceuticals Inc. - Common Stock
ORR,Militia Long/Short Equity ETF
ORRF,"Orrstown Financial Services, Inc. - Common Stock"
OS,"OneStream, Inc. - Class A Common Stock"
OSBC,"Old Second Bancorp, Inc. - Common Stock"
OSIS,"OSI Systems, Inc. - Common Stock"
OSPN,OneSpan Inc. - Common Stock
OSRH,"OSR Holdings, Inc. - Common Stock"
OSRHW,"OSR Holdings, Inc. - Warrant"
OSS,"One Stop Systems, Inc. - Common Stock"
OST,"Ostin Technology Group Co., Ltd. - Class A Ordinary Shares"
OSUR,"OraSure Technologies, Inc. - Common Stock"
OSW,OneSpaWorld Holdings Limited - Common Shares
OTEX,Open Text Corporation - Common Shares
OTGL,OTG Latin America ETF
OTLK,"Outlook Therapeutics, Inc. - Common Stock"
OTLY,Oatly Group AB - American Depositary Shares
OTTR,Otter Tail Corporation - Common Stock
OUST,"Ouster, Inc. - Common Stock"
OUSTW,"Ouster, Inc. - Warrants"
OUSTZ,"Ouster, Inc. - Warrants"
OVBC,Ohio Valley Banc Corp. - Common Stock
OVID,Ovid Therapeutics Inc. - Common Stock
OVLY,Oak Valley Bancorp (CA) - Common Stock
OXBR,Oxbridge Re Holdings Limited - Ordinary Shares
OXBRW,Oxbridge Re Holdings Limited - Warrant
OXLC,Oxford Lane Capital Corp. - Closed End Fund
OXLCG,Oxford Lane Capital Corp. - 7.95% Notes due 2032
OXLCI,Oxford Lane Capital Corp. - 8.75% Notes due 2030
OXLCL,Oxford Lane Capital Corp. - 6.75% Notes due 2031
OXLCN,Oxford Lane Capital Corp. - 7.125% Series 2029 Term Preferred Stock
OXLCO,"Oxford Lane Capital Corp. - Preferred Stock Shares, 6.00% Series 2029"
OXLCP,Oxford Lane Capital Corp. - 6.25% Series 2027 Term Preferred Shares
OXLCZ,Oxford Lane Capital Corp. - 5.00% Notes due 2027
OXSQ,Oxford Square Capital Corp. - Closed End Fund
OXSQG,Oxford Square Capital Corp. - 5.50% Notes due 2028
OXSQH,Oxford Square Capital Corp. - 7.75% Notes due 2030
OXSQZ,Oxford Square Capital Corp. - 6.25% Notes due 2026
OYSE,Oyster Enterprises II Acquisition Corp - Class A Ordinary Shares
OYSER,Oyster Enterprises II Acquisition Corp - Rights
OYSEU,Oyster Enterprises II Acquisition Corp - Units
OZEM,Roundhill GLP-1 & Weight Loss ETF
OZK,Bank OZK - Common Stock
OZKAP,Bank OZK - 4.625% Series A Non-Cumulative Perpetual Preferred Stock
PAA,"Plains All American Pipeline, L.P. - Common Units representing Limited Partner Interests"
PABD,iShares Paris-Aligned Climate Optimized MSCI World ex USA ETF
PABU,iShares Paris-Aligned Climate Optimized MSCI USA ETF
PACB,"Pacific Biosciences of California, Inc. - Common Stock"
PACH,Pioneer Acquisition I Corp - Class A Ordinary Shares
PACHU,Pioneer Acquisition I Corp - Units
PACHW,Pioneer Acquisition I Corp - Warrants
PAGP,"Plains GP Holdings, L.P. - Class A Shares representing limited partner interests"
PAHC,Phibro Animal Health Corporation - Class A Common Stock
PAL,"Proficient Auto Logistics, Inc. - Common Stock"
PALD,Direxion Daily PANW Bear 1X Shares
PALI,"Palisade Bio, Inc. - Common Stock"
PALU,Direxion Daily PANW Bull 2X Shares
PAMT,PAMT CORP - Common Stock
PANG,Leverage Shares 2X Long PANW Daily ETF
PANL,Pangaea Logistics Solutions Ltd. - Common Stock
PANW,"Palo Alto Networks, Inc. - Common Stock"
PASG,"Passage Bio, Inc. - Common Stock"
PATK,"Patrick Industries, Inc. - Common Stock"
PATN,Pacer Nasdaq International Patent Leaders ETF
PAVM,PAVmed Inc. - Common Stock
PAVS,Paranovus Entertainment Technology Ltd. - Class A Ordinary Shares
PAX,Patria Investments Limited - Class A Common Shares
PAYO,Payoneer Global Inc. - Common Stock
PAYS,"Paysign, Inc. - Common Stock"
PAYX,"Paychex, Inc. - Common Stock"
PBBK,"PB Bankshares, Inc. - Common Stock"
PBFS,"Pioneer Bancorp, Inc. - Common Stock"
PBHC,"Pathfinder Bancorp, Inc. - Common Stock"
PBM,Psyence Biomedical Ltd. - Ordinary Shares
PBMWW,Psyence Biomedical Ltd. - Warrant
PBPB,Potbelly Corporation - Common Stock
PBQQ,PGIM Laddered Nasdaq-100 Buffer 12 ETF
PBYI,Puma Biotechnology Inc - Common Stock
PC,Premium Catering (Holdings) Limited - Ordinary Shares
PCAP,ProCap Acquisition Corp - Class A Ordinary Shares
PCAPU,ProCap Acquisition Corp - Unit
PCAPW,ProCap Acquisition Corp - Warrant
PCAR,PACCAR Inc. - Common Stock
PCB,PCB Bancorp - Common Stock
PCH,PotlatchDeltic Corporation - Common Stock
PCLA,PicoCELA Inc. - American Depositary Shares
PCMM,BondBloxx Private Credit CLO ETF
PCRX,"Pacira BioSciences, Inc. - Common Stock"
PCSA,"Processa Pharmaceuticals, Inc. - Common Stock"
PCSC,Perceptive Capital Solutions Corp - Class A Ordinary Shares
PCT,"PureCycle Technologies, Inc. - Common stock"
PCTTU,"PureCycle Technologies, Inc. - Unit"
PCTTW,"PureCycle Technologies, Inc. - Warrant"
PCTY,Paylocity Holding Corporation - Common Stock
PCVX,"Vaxcyte, Inc. - Common Stock"
PCYO,Pure Cycle Corporation - Common Stock
PDBA,Invesco Agriculture Commodity Strategy No K-1 ETF
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
PDD,PDD Holdings Inc. - American Depositary Shares
PDDL,GraniteShares 2x Long PDD Daily ETF
PDEX,"Pro-Dex, Inc. - Common Stock"
PDFS,"PDF Solutions, Inc. - Common Stock"
PDLB,"Ponce Financial Group, Inc. - Common Stock"
PDP,Invesco Dorsey Wright Momentum ETF
PDSB,PDS Biotechnology Corporation - Common Stock
PDYN,Palladyne AI Corp. - Common stock
PDYNW,Palladyne AI Corp. - Warrant
PEBK,"Peoples Bancorp of North Carolina, Inc. - Common Stock"
PEBO,Peoples Bancorp Inc. - Common Stock
PECO,"Phillips Edison & Company, Inc. - Common Stock"
PEGA,Pegasystems Inc. - Common Stock
PELI,Pelican Acquisition Corporation - Ordinary Shares
PELIR,Pelican Acquisition Corporation - Right
PELIU,Pelican Acquisition Corporation - Unit
PENG,"Penguin Solutions, Inc. - Common Stock"
PENN,"PENN Entertainment, Inc. - Common Stock"
PEP,"PepsiCo, Inc. - Common Stock"
PEPG,PepGen Inc. - Common Stock
PEPS,Parametric Equity Plus ETF
PERI,Perion Network Ltd - Ordinary Shares
PESI,"Perma-Fix Environmental Services, Inc. - Common Stock"
PETS,"PetMed Express, Inc. - Common Stock"
PETZ,"TDH Holdings, Inc. - Common Shares"
PEY,Invesco High Yield Equity Dividend Achievers ETF
