Ticker,Sector,Industry,Company_Type,Current_Price,DCF_Price,Technical_Price,Comparable_Price,Startup_Price,Equity Value,RSI 14,Current_Multiples,Technical Trend on MA,MA_20,MA_50,MA_200,Relative_Valuation,Last_Close,Market_Cap,PE_Ratio,Revenue_Growth,Quality_Score,Quality_Grade,Growth_Quality,Median_Growth,Current_Revenue,Implied_Value_Estimate,Key_Risks,Recommendation,Confidence,Signal-Bullish,Signal-Bearish,Signal-Neutral,Signal-DCF,Signal-Startup,Signal-Technical,Signal-Comparable,Risk_Level,Investment_Thesis,Data_Quality,Next_Steps,Errors
AALG,,,startup_loss_making,$0.00,$0.00,$8.57,$0.00,$0.00,$0,36.095605325086936,,Short-term Downtrend,13.722004938125611,13.3373219871521,,N/A,$0.00,$0,,,3,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,[],"['Critical cash runway or poor growth', 'Technical: Short-term Downtrend', 'High volume selling pressure', 'Poor quality metrics']",[],,Avoid,Sell,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAME,Financial Services,Insurance - Life,financial,$3.30,$0.00,$5.50,$12.70,$0.00,$0,56.13699587636602,"{'pe': 33.0, 'ps': 0.33828458, 'pb': 0.63437134}",Strong Uptrend,3.3319999814033507,2.8717999958992007,1.9386015164852142,Undervalued,$0.00,"$67,310,848",33.0,0.16,34,D,,0,$0,$0,['Weak financial health'],HOLD,Low,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend', 'Trading below peer multiples']",['Poor quality metrics'],[],,,Buy,Buy,Medium,Financial company requiring careful timing. Current signals: hold.,High,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
AAOI,Technology,Communication Equipment,startup_loss_making,$26.69,$0.00,$62.30,$0.00,$8.05,$0,50.9877556733531,,Strong Uptrend,26.384499931335448,25.09800006866455,23.447600088119508,N/A,$0.00,"$1,664,224,256",,1.379,30,D,Weak (<15%),5.3%,"$249,365,000","$648,349,000","['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health']",AVOID,High,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
AAON,Industrials,Building Products & Equipment,turnaround,$90.99,$10.55,$118.49,$26.02,$0.00,"$860,016,115",59.40646539606313,"{'pe': 61.897957, 'ps': 5.8942704, 'pb': 8.9057455}",Uptrend,84.58952713012695,82.35973358154297,93.7229578781128,Overvalued,$0.00,"$7,418,475,520",61.897957,0.168,59,C,,0,$0,$0,[],HOLD,Low,"['Technical: Uptrend', 'Strong volume supporting uptrend']","['DCF shows -88% downside', 'Trading above peer multiples']",[],Strong Sell,,Buy,Sell,Low,Turnaround company requiring careful timing. Current signals: hold.,High,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
AAPB,,,startup_loss_making,$0.00,$0.00,$39.03,$0.00,$0.00,$0,67.91924318035751,,Uptrend,26.513550186157225,24.216720199584962,24.895445032119753,N/A,$0.00,$0,,,3,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,"['Technical: Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAPD,,,startup_loss_making,$0.00,$0.00,$16.48,$0.00,$0.00,$0,31.400145619410537,,Strong Downtrend,14.985819005966187,15.80798698425293,16.478997168540953,N/A,$0.00,$0,,,3,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,[],"['Critical cash runway or poor growth', 'Technical: Strong Downtrend', 'High volume selling pressure', 'Poor quality metrics']",[],,Avoid,Sell,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAPG,Healthcare,Biotechnology,startup_loss_making,$37.41,$0.00,$30.06,$0.00,$151.31,$0,39.169467436523064,,Short-term Downtrend,39.827100372314455,40.79934020996094,,N/A,$0.00,"$3,505,145,088",,-0.716,2,D,Exceptional (>50%),341.8%,"$980,650,000","$14,121,360,000","['High volatility - total loss possible', 'Weak financial health']",MONITOR,Low,['Strong revenue growth with adequate runway'],"['Technical: Short-term Downtrend', 'Poor quality metrics']",[],,Speculative Buy,Sell,,Very High,High-risk speculative play on revenue growth potential. Speculative Buy based on cash runway and growth metrics.,Medium,"['Wait for clearer fundamental signals', 'Consider adding to watchlist for quarterly review']",[]
AAPU,,,startup_loss_making,$0.00,$0.00,$42.07,$0.00,$0.00,$0,67.76906887392188,,Uptrend,28.614425945281983,26.146576919555663,27.026890382766723,N/A,$0.00,$0,46.279907,,5,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,"['Technical: Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AARD,Healthcare,Biotechnology,startup_loss_making,$12.17,$0.00,$18.98,$0.00,$6.51,$0,66.27138735998837,,Short-term Uptrend,9.42999997138977,10.793599948883056,,N/A,$0.00,"$264,003,808",,,18,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Weak financial health']",AVOID,High,"['Technical: Short-term Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
AAUS,,,startup_loss_making,$0.00,$0.00,$56.55,$0.00,$0.00,$0,64.33985867927433,,Near-term Uptrend,52.80459976196289,,,N/A,$0.00,$0,27.553728,,10,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Near-term Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAVM,,,startup_loss_making,$0.00,$0.00,$33.71,$0.00,$0.00,$0,60.367730079435724,,Strong Uptrend,28.34105005264282,27.67943992614746,26.051023378372193,N/A,$0.00,$0,14.926007,,20,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
AAXJ,,,startup_loss_making,$0.00,$0.00,$108.76,$0.00,$0.00,$0,66.26631970656987,,Strong Uptrend,88.96149978637695,86.74380004882812,78.00235481262207,N/A,$0.00,$0,16.587229,,20,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABAT,Industrials,Waste Management,startup_loss_making,$4.70,$0.00,$11.08,$0.00,$0.43,$0,84.03826363526886,,Strong Uptrend,2.7735000133514403,2.6098000049591064,1.6888200005888938,N/A,$0.00,"$554,820,352",,7.081,35,D,Exceptional (>50%),1149.0%,"$4,290,224","$51,482,688","['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health']",AVOID,High,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABCL,Healthcare,Biotechnology,startup_loss_making,$4.77,$0.00,$8.34,$0.00,$1.61,$0,57.05285961996497,,Strong Uptrend,4.421999990940094,4.462599997520447,3.205924999117851,N/A,$0.00,"$1,425,433,088",,1.333,35,D,Declining,-24.2%,"$28,833,000","$69,199,200","['Bankruptcy risk', 'Weak financial health']",AVOID,High,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABCS,,,startup_loss_making,$0.00,$0.00,$36.01,$0.00,$0.00,$0,51.7453696916713,,Strong Uptrend,30.34995002746582,29.737879943847656,28.53917314529419,N/A,$0.00,$0,14.57023,,20,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABEO,Healthcare,Biotechnology,turnaround,$5.55,$-9.63,$4.63,$22.65,$0.00,"$-493,910,631",32.54878939858991,"{'pe': 8.671876, 'ps': 711.48975, 'pb': 1.738722}",Downtrend,6.300499987602234,6.525600023269654,5.840449995994568,Undervalued,$0.00,"$284,595,904",8.671876,,55,C,,0,$0,$0,[],SELL,Medium,['Trading below peer multiples'],"['DCF shows -274% downside', 'Technical: Downtrend', 'High volume selling pressure']",[],Strong Sell,,Sell,Buy,Low,Turnaround company requiring careful timing. Current signals: sell.,Medium,['Monitor for fundamental changes before reconsidering'],[]
ABI,,,startup_loss_making,$0.00,$0.00,$25.24,$0.00,$0.00,$0,43.390321743891114,,Short-term Uptrend,25.10278100967407,25.020637016296387,,N/A,$0.00,$0,,,3,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Short-term Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABIG,,,startup_loss_making,$0.00,$0.00,$33.65,$0.00,$0.00,$0,52.844464058249045,,Short-term Uptrend,31.3005651473999,30.95148612976074,,N/A,$0.00,$0,28.822962,,10,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Short-term Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABL,Financial Services,Insurance - Life,financial,$6.06,$0.00,$7.05,$4.22,$0.00,$0,39.6091272312329,"{'pe': None, 'ps': 3.5942795, 'pb': 1.3356843}",Strong Downtrend,6.563499999046326,6.097200012207031,7.051474995613098,Overvalued,$0.00,"$581,282,944",,0.934,27,D,,0,$0,$0,['Weak financial health'],SELL,Medium,[],"['Technical: Strong Downtrend', 'High volume selling pressure', 'Trading above peer multiples', 'Poor quality metrics']",[],,,Sell,Sell,Medium,Financial company requiring careful timing. Current signals: sell.,High,['Monitor for fundamental changes before reconsidering'],[]
ABLLL,,,startup_loss_making,$0.00,$0.00,$30.06,$0.00,$0.00,$0,57.298609417032864,,Uptrend,25.045849800109863,24.787166938781738,24.881521654129028,N/A,$0.00,$0,,,3,D,Exceptional (>50%),68.6%,"$111,923,786","$895,390,288","['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,['Technical: Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABLV,Communication Services,Advertising Agencies,startup_loss_making,$0.88,$0.00,$0.99,$0.00,$10.49,$0,46.16866226204588,,Strong Downtrend,0.921450001001358,0.9591200006008148,0.9917350009083747,N/A,$0.00,"$43,463,132",,-0.017,5,D,Weak (<15%),2.6%,"$128,932,647","$257,865,294","['Bankruptcy risk', 'Weak financial health']",AVOID,High,[],"['Critical cash runway or poor growth', 'Technical: Strong Downtrend', 'Poor quality metrics']",[],,Avoid,Sell,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABLVW,Communication Services,Advertising Agencies,startup_loss_making,$0.03,$0.00,$0.03,$0.00,$0.00,$0,,,Insufficient Moving Averages Data,,,,N/A,$0.00,$0,,-0.017,5,D,Weak (<15%),2.6%,"$128,932,647","$257,865,294","['Bankruptcy risk', 'Weak financial health']",AVOID,High,[],"['Critical cash runway or poor growth', 'Poor quality metrics']",['Technical: Insufficient Moving Averages Data'],,Avoid,Neutral,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABNB,Consumer Cyclical,Travel Services,mature_profitable,$123.08,$203.86,$130.47,$69.79,$0.00,"$87,472,873,746",43.89832048535219,"{'pe': 29.873787, 'ps': 6.507251, 'pb': 9.695156}",Strong Downtrend,124.98550148010254,128.48020080566405,130.47117568969728,Overvalued,$0.00,"$75,353,964,544",29.873787,0.127,57,C,,0,$0,$0,[],HOLD,Medium,['DCF shows 66% upside'],"['Technical: Strong Downtrend', 'Trading above peer multiples']",[],Strong Buy,,Sell,Sell,Low,Stable dividend-paying company. DCF suggests Strong Buy with C quality metrics.,High,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
ABOS,Healthcare,Biotechnology,startup_loss_making,$1.27,$0.00,$0.99,$0.00,$1.87,$0,45.03721545376173,,Downtrend,1.3320000052452088,1.3969999980926513,1.348819999396801,N/A,$0.00,"$76,928,248",,,18,D,Unknown,0.0%,$0,$0,"['Bankruptcy risk', 'High risk: <2 years cash runway', 'Weak financial health']",AVOID,High,[],"['Critical cash runway or poor growth', 'Technical: Downtrend', 'Poor quality metrics']",[],,Avoid,Sell,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABP,Healthcare,Biotechnology,startup_loss_making,$0.23,$0.00,$0.59,$0.00,$0.00,$0,51.981971996549234,,Strong Downtrend,0.21378500163555145,0.23887400060892106,0.5862134984135627,N/A,$0.00,"$18,173,784",,,5,D,Declining,-22.0%,"$183,000","$439,200","['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,[],"['Critical cash runway or poor growth', 'Technical: Strong Downtrend', 'Poor quality metrics']",[],,Avoid,Sell,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABPWW,Healthcare,Biotechnology,startup_loss_making,$0.03,$0.00,$0.03,$0.00,$0.00,$0,,,Insufficient Moving Averages Data,,,,N/A,$0.00,$0,,,5,D,Declining,-22.0%,"$183,000","$439,200","['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health', 'Limited financial data availability']",AVOID,High,[],"['Critical cash runway or poor growth', 'Poor quality metrics']",['Technical: Insufficient Moving Averages Data'],,Avoid,Neutral,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Low,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering', 'Seek additional data sources beyond yFinance']",[]
ABSI,Healthcare,Biotechnology,startup_loss_making,$2.49,$0.00,$3.09,$0.00,$0.81,$0,45.1261059889878,,Strong Downtrend,2.5330000042915346,2.7762000036239622,3.0912749934196473,N/A,$0.00,"$372,311,360",,-0.533,20,D,Declining,-0.5%,"$4,534,000","$10,881,600","['Bankruptcy risk', 'High risk: <2 years cash runway', 'Weak financial health']",AVOID,High,[],"['Critical cash runway or poor growth', 'Technical: Strong Downtrend', 'High volume selling pressure', 'Poor quality metrics']",[],,Avoid,Sell,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABTS,Financial Services,Capital Markets,financial,$7.63,$0.00,$116.04,$7.42,$0.00,$0,68.63587828056494,"{'pe': None, 'ps': 2.569655, 'pb': 1.8046358}",Strong Uptrend,4.897399985790253,4.50319999217987,2.8111449982225896,Overvalued,$0.00,"$18,083,062",,0.089,15,D,,0,$0,$0,['Weak financial health'],HOLD,Low,['Technical: Strong Uptrend'],"['Trading above peer multiples', 'Poor quality metrics']",[],,,Buy,Sell,Medium,Financial company requiring careful timing. Current signals: hold.,Medium,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement']",[]
ABUS,Healthcare,Biotechnology,startup_loss_making,$4.49,$0.00,$6.43,$0.00,$0.56,$0,62.875927881448916,,Strong Uptrend,4.240000009536743,3.704800009727478,3.422900004386902,N/A,$0.00,"$860,727,040",,5.222,35,D,Declining,-53.5%,"$6,171,000","$14,810,400","['Bankruptcy risk', 'High risk: <2 years cash runway', 'Weak financial health']",AVOID,High,"['Technical: Strong Uptrend', 'Strong volume supporting uptrend']","['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABVC,Healthcare,Biotechnology,startup_loss_making,$3.23,$0.00,$7.41,$0.00,$0.24,$0,61.97259594922824,,Strong Uptrend,2.8299999833106995,2.9549999904632567,1.5720949923992158,N/A,$0.00,"$76,040,088",,,8,D,Exceptional (>50%),172.6%,"$509,589","$7,338,082","['Bankruptcy risk', 'Critical: <1 year cash runway', 'Weak financial health']",AVOID,High,['Technical: Strong Uptrend'],"['Critical cash runway or poor growth', 'Poor quality metrics']",[],,Avoid,Buy,,Very High,High-risk speculative play on revenue growth potential. Avoid based on cash runway and growth metrics.,Medium,"['Exit position immediately if held', 'Monitor for fundamental changes before reconsidering']",[]
ABVE,Consumer Defensive,Packaged Foods,turnaround,$1.88,$-3.58,$9.61,$14.40,$0.00,"$-183,108,021",56.89461595907691,"{'pe': None, 'ps': 0.326417, 'pb': -3.1703205}",Strong Uptrend,1.7014999985694885,1.8452000045776367,1.0430299992859364,Undervalued,$0.00,"$96,240,672",,-0.45,7,D,,0,$0,$0,"['Weak financial health', 'Limited financial data availability']",HOLD,Low,"['Technical: Strong Uptrend', 'Trading below peer multiples']","['DCF shows -290% downside', 'Poor quality metrics']",[],Strong Sell,,Buy,Buy,Medium,Turnaround company requiring careful timing. Current signals: hold.,Low,"['Monitor for catalysts that could change thesis', 'Review position at next earnings announcement', 'Seek additional data sources beyond yFinance']",[]
